experiment,DNASE_mean,CAGE_mean,CHIP_mean,ATAC_mean
all,0.2571992576122284,0.15851703782876334,0.1736776034037272,0.15870797634124756
komlos,0.2567103107770284,0.1233530764778455,0.17012143631776175,0.17160320281982422
komlos_rank1,0.2661081850528717,0.1539431264003118,0.16783370077610016,0.1565918574730555
komlos_rope,0.24016404151916504,0.11571483314037323,0.1535989592472712,0.16903424759705862
rank1,0.22011272609233856,0.12442159404357274,0.15828208128611246,0.15774827698866525
rope,0.27575857440630597,0.1588690976301829,0.19283543030420938,0.1741386999686559
rope_rank1,0.20759267608324686,0.1160382553935051,0.15517975886662802,0.16230963170528412
vanilla,0.23479174574216208,0.13058377305666605,0.17689998944600424,0.17744423945744833
