experiment,pearson_human_mean,train_loss_human
all,0.18242434163888296,0.7632672389348348
komlos,0.17549269398053488,0.7605088949203491
komlos_rank1,0.17861148715019226,0.7644961078961691
komlos_rope,0.16006029645601907,0.7615431149800619
rank1,0.16205876817305884,0.7634112437566122
rope,0.19924098253250122,0.7600644032160441
rope_rank1,0.15714199344317117,0.7596626083056132
vanilla,0.1786832958459854,0.7599188884099325
