experiment,seed,train_loss_human,pearson_human_mean
all,42,0.7606540322303772,0.16641657054424286
komlos,42,0.7595940828323364,0.18557357788085938
komlos_rank1,42,0.7602382302284241,0.18448331952095032
komlos_rope,42,0.761040985584259,0.1505902111530304
rank1,42,0.7649359107017517,0.16018515825271606
rope,42,0.7621860504150391,0.19866444170475006
rope_rank1,42,0.7572919130325317,0.12910620868206024
vanilla,42,0.759868323802948,0.14082621037960052
